,city,State,State Full
0,holtsville,NY,New York
1,adjuntas,PR,Puerto Rico
5,aguada,PR,Puerto Rico
11,aguadilla,PR,Puerto Rico
44,maricao,PR,Puerto Rico
46,anasco,PR,Puerto Rico
53,angeles,PR,Puerto Rico
54,arecibo,PR,Puerto Rico
122,bajadero,PR,Puerto Rico
124,barceloneta,PR,Puerto Rico
150,boqueron,PR,Puerto Rico
152,cabo rojo,PR,Puerto Rico
197,penuelas,PR,Puerto Rico
216,camuy,PR,Puerto Rico
223,castaner,PR,Puerto Rico
225,rosario,PR,Puerto Rico
226,sabana grande,PR,Puerto Rico
240,ciales,PR,Puerto Rico
245,utuado,PR,Puerto Rico
257,dorado,PR,Puerto Rico
308,ensenada,PR,Puerto Rico
310,florida,PR,Puerto Rico
317,garrochales,PR,Puerto Rico
320,guanica,PR,Puerto Rico
327,guayanilla,PR,Puerto Rico
340,hatillo,PR,Puerto Rico
358,hormigueros,PR,Puerto Rico
370,isabela,PR,Puerto Rico
445,jayuya,PR,Puerto Rico
454,lajas,PR,Puerto Rico
465,lares,PR,Puerto Rico
468,las marias,PR,Puerto Rico
473,manati,PR,Puerto Rico
518,moca,PR,Puerto Rico
529,rincon,PR,Puerto Rico
540,quebradillas,PR,Puerto Rico
553,mayaguez,PR,Puerto Rico
632,san german,PR,Puerto Rico
659,san sebastian,PR,Puerto Rico
682,morovis,PR,Puerto Rico
708,sabana hoyos,PR,Puerto Rico
710,san antonio,PR,Puerto Rico
717,vega alta,PR,Puerto Rico
753,vega baja,PR,Puerto Rico
807,yauco,PR,Puerto Rico
852,aguas buenas,PR,Puerto Rico
856,aguirre,PR,Puerto Rico
868,aibonito,PR,Puerto Rico
885,maunabo,PR,Puerto Rico
891,arroyo,PR,Puerto Rico
905,mercedita,PR,Puerto Rico
911,ponce,PR,Puerto Rico
983,naguabo,PR,Puerto Rico
999,naranjito,PR,Puerto Rico
1001,orocovis,PR,Puerto Rico
1006,palmer,PR,Puerto Rico
1008,patillas,PR,Puerto Rico
1021,caguas,PR,Puerto Rico
1191,canovanas,PR,Puerto Rico
1259,ceiba,PR,Puerto Rico
1278,cayey,PR,Puerto Rico
1326,fajardo,PR,Puerto Rico
1372,cidra,PR,Puerto Rico
1395,puerto real,PR,Puerto Rico
1397,punta santiago,PR,Puerto Rico
1401,roosevelt roads,PR,Puerto Rico
1404,rio blanco,PR,Puerto Rico
1405,rio grande,PR,Puerto Rico
1432,salinas,PR,Puerto Rico
1455,san lorenzo,PR,Puerto Rico
1481,santa isabel,PR,Puerto Rico
1492,vieques,PR,Puerto Rico
1497,villalba,PR,Puerto Rico
1509,yabucoa,PR,Puerto Rico
1524,coamo,PR,Puerto Rico
1560,las piedras,PR,Puerto Rico
1590,loiza,PR,Puerto Rico
1595,luquillo,PR,Puerto Rico
1613,culebra,PR,Puerto Rico
1614,juncos,PR,Puerto Rico
1647,gurabo,PR,Puerto Rico
1693,coto laurel,PR,Puerto Rico
1714,comerio,PR,Puerto Rico
1721,corozal,PR,Puerto Rico
1739,guayama,PR,Puerto Rico
1780,la plata,PR,Puerto Rico
1781,humacao,PR,Puerto Rico
1824,barranquitas,PR,Puerto Rico
1828,juana diaz,PR,Puerto Rico
1868,st thomas,VI,Virgin Islands
1871,christiansted,VI,Virgin Islands
1873,st john,VI,Virgin Islands
1875,frederiksted,VI,Virgin Islands
1876,kingshill,VI,Virgin Islands
1877,san juan,PR,Puerto Rico
2161,fort buchanan,PR,Puerto Rico
2167,gpo,PR,Puerto Rico
2169,toa baja,PR,Puerto Rico
2217,sabana seca,PR,Puerto Rico
2219,toa alta,PR,Puerto Rico
2274,bayamon,PR,Puerto Rico
2421,catano,PR,Puerto Rico
2440,guaynabo,PR,Puerto Rico
2571,trujillo alto,PR,Puerto Rico
2615,saint just,PR,Puerto Rico
2616,carolina,PR,Puerto Rico
2695,agawam,MA,Massachusetts
2696,amherst,MA,Massachusetts
2700,barre,MA,Massachusetts
2701,belchertown,MA,Massachusetts
2702,blandford,MA,Massachusetts
2703,bondsville,MA,Massachusetts
2704,brimfield,MA,Massachusetts
2706,chester,MA,Massachusetts
2707,chesterfield,MA,Massachusetts
2708,chicopee,MA,Massachusetts
2711,cummington,MA,Massachusetts
2713,easthampton,MA,Massachusetts
2718,east longmeadow,MA,Massachusetts
2720,east otis,MA,Massachusetts
2723,feeding hills,MA,Massachusetts
2724,gilbertville,MA,Massachusetts
2726,goshen,MA,Massachusetts
2728,granby,MA,Massachusetts
2729,granville,MA,Massachusetts
2733,hadley,MA,Massachusetts
2735,hampden,MA,Massachusetts
2737,hardwick,MA,Massachusetts
2738,hatfield,MA,Massachusetts
2740,haydenville,MA,Massachusetts
2742,holyoke,MA,Massachusetts
2744,huntington,MA,Massachusetts
2751,leeds,MA,Massachusetts
2752,leverett,MA,Massachusetts
2755,ludlow,MA,Massachusetts
2756,monson,MA,Massachusetts
2757,north amherst,MA,Massachusetts
2759,northampton,MA,Massachusetts
2761,florence,MA,Massachusetts
2766,north hatfield,MA,Massachusetts
2769,oakham,MA,Massachusetts
2771,plainfield,MA,Massachusetts
2772,russell,MA,Massachusetts
2773,shutesbury,MA,Massachusetts
2774,southampton,MA,Massachusetts
2775,south barre,MA,Massachusetts
2776,south hadley,MA,Massachusetts
2780,southwick,MA,Massachusetts
2781,thorndike,MA,Massachusetts
2782,three rivers,MA,Massachusetts
2783,wales,MA,Massachusetts
2784,ware,MA,Massachusetts
2786,warren,MA,Massachusetts
2787,west chesterfield,MA,Massachusetts
2789,westfield,MA,Massachusetts
2791,west hatfield,MA,Massachusetts
2793,west springfield,MA,Massachusetts
2796,west warren,MA,Massachusetts
2798,whately,MA,Massachusetts
2799,wheelwright,MA,Massachusetts
2800,wilbraham,MA,Massachusetts
2801,williamsburg,MA,Massachusetts
2804,woronoco,MA,Massachusetts
2805,worthington,MA,Massachusetts
2806,springfield,MA,Massachusetts
2808,longmeadow,MA,Massachusetts
2816,indian orchard,MA,Massachusetts
2821,pittsfield,MA,Massachusetts
2823,adams,MA,Massachusetts
2824,ashley falls,MA,Massachusetts
2825,becket,MA,Massachusetts
2829,berkshire,MA,Massachusetts
2831,cheshire,MA,Massachusetts
2832,dalton,MA,Massachusetts
2833,glendale,MA,Massachusetts
2834,great barrington,MA,Massachusetts
2848,hinsdale,MA,Massachusetts
2850,housatonic,MA,Massachusetts
2851,lanesboro,MA,Massachusetts
2855,lee,MA,Massachusetts
2857,lenox,MA,Massachusetts
2858,lenox dale,MA,Massachusetts
2859,middlefield,MA,Massachusetts
2860,mill river,MA,Massachusetts
2861,monterey,MA,Massachusetts
2863,north adams,MA,Massachusetts
2868,north egremont,MA,Massachusetts
