,city,State,State Full,County,"Internal Revenue Service,"
0,Holtsville,NY,New York,SUFFOLK,"Holtsville,"
1,Adjuntas,PR,Puerto Rico,ADJUNTAS,"URB San Joaquin,"
2,Adjuntas,PR,Puerto Rico,ADJUNTAS,"Jard De Adjuntas,"
3,Adjuntas,PR,Puerto Rico,ADJUNTAS,"Colinas Del Gigante,"
4,Adjuntas,PR,Puerto Rico,ADJUNTAS,"Adjuntas,"
5,Aguada,PR,Puerto Rico,AGUADA,"Comunidad Las Flores,"
6,Aguada,PR,Puerto Rico,AGUADA,"URB Isabel La Catolica,"
7,Aguada,PR,Puerto Rico,AGUADA,"Alts De Aguada,"
8,Aguada,PR,Puerto Rico,AGUADA,"Bo Guaniquilla,"
9,Aguada,PR,Puerto Rico,AGUADA,"Aguada,"
10,Aguada,PR,Puerto Rico,AGUADA,"Ext Los Robles,"
11,Aguadilla,PR,Puerto Rico,AGUADILLA,"Ramey,"
12,Aguadilla,PR,Puerto Rico,AGUADILLA,"Aguadilla,"
13,Aguadilla,PR,Puerto Rico,AGUADILLA,"Repto Lopez,"
14,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Maleza Gdns,"
15,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Victoria,"
16,Aguadilla,PR,Puerto Rico,AGUADILLA,"Repto Tres Palmas,"
17,Aguadilla,PR,Puerto Rico,AGUADILLA,"Sect Las Villas,"
18,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Garcia,"
19,Aguadilla,PR,Puerto Rico,AGUADILLA,"Villa Linda,"
20,Aguadilla,PR,Puerto Rico,AGUADILLA,"Villa Universitaria,"
21,Aguadilla,PR,Puerto Rico,AGUADILLA,"Bo Ceiba Baja,"
22,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Borinquen,"
23,Aguadilla,PR,Puerto Rico,AGUADILLA,"Villa Alegria,"
24,Aguadilla,PR,Puerto Rico,AGUADILLA,"Vista Alegre,"
25,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB San Carlos,"
26,Aguadilla,PR,Puerto Rico,AGUADILLA,"Bda Caban,"
27,Aguadilla,PR,Puerto Rico,AGUADILLA,"Ext El Prado,"
28,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Esteves,"
29,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Ramey,"
30,Aguadilla,PR,Puerto Rico,AGUADILLA,"Villas De Almeria,"
31,Aguadilla,PR,Puerto Rico,AGUADILLA,"Bda Esteves,"
32,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Las Americas,"
33,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Las Casitas Country Club,"
34,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Santa Marta,"
35,Aguadilla,PR,Puerto Rico,AGUADILLA,"Ext Marbella,"
36,Aguadilla,PR,Puerto Rico,AGUADILLA,"Repto Juan Aguiar,"
37,Aguadilla,PR,Puerto Rico,AGUADILLA,"Villa Lydia,"
38,Aguadilla,PR,Puerto Rico,AGUADILLA,"Bo Borinquen,"
39,Aguadilla,PR,Puerto Rico,AGUADILLA,"Repto Jimenez,"
40,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB El Prado,"
41,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Marbella,"
42,Aguadilla,PR,Puerto Rico,AGUADILLA,"URB Rubianes,"
43,Aguadilla,PR,Puerto Rico,AGUADILLA,"Vista Verde,"
44,Maricao,PR,Puerto Rico,MARICAO,"Maricao,"
45,Maricao,PR,Puerto Rico,MARICAO,"URB San Juan Bautista,"
46,Anasco,PR,Puerto Rico,ANASCO,"Anasco,"
47,Anasco,PR,Puerto Rico,ANASCO,"Jard De Anasco,"
48,Anasco,PR,Puerto Rico,ANASCO,"Repto Daguey,"
49,Anasco,PR,Puerto Rico,ANASCO,"URB San Antonio,"
50,Anasco,PR,Puerto Rico,ANASCO,"Brisas De Anasco,"
51,Anasco,PR,Puerto Rico,ANASCO,"Paseo Del Valle,"
52,Anasco,PR,Puerto Rico,ANASCO,"Est De Valle Verde,"
53,Angeles,PR,Puerto Rico,UTUADO,"Angeles,"
54,Arecibo,PR,Puerto Rico,ARECIBO,"Comunidad Buenos Aires,"
55,Arecibo,PR,Puerto Rico,ARECIBO,"Ext Tanama,"
56,Arecibo,PR,Puerto Rico,ARECIBO,"Jard De San Rafael,"
57,Arecibo,PR,Puerto Rico,ARECIBO,"URB College Park Iv,"
58,Arecibo,PR,Puerto Rico,ARECIBO,"URB Los Pinos,"
59,Arecibo,PR,Puerto Rico,ARECIBO,"Villa Lucia,"
60,Arecibo,PR,Puerto Rico,ARECIBO,"Vista Del Atlantico,"
61,Arecibo,PR,Puerto Rico,ARECIBO,"Bo El Pasaje,"
62,Arecibo,PR,Puerto Rico,ARECIBO,"Hacienda Toledo,"
63,Arecibo,PR,Puerto Rico,ARECIBO,"Jard De Arecibo,"
64,Arecibo,PR,Puerto Rico,ARECIBO,"Parc Mattey,"
65,Arecibo,PR,Puerto Rico,ARECIBO,"Parq De Jardines,"
66,Arecibo,PR,Puerto Rico,ARECIBO,"URB Arecibo Gdns,"
67,Arecibo,PR,Puerto Rico,ARECIBO,"URB Costas Del Atlantico,"
68,Arecibo,PR,Puerto Rico,ARECIBO,"URB Los Llanos,"
69,Arecibo,PR,Puerto Rico,ARECIBO,"URB Martell,"
70,Arecibo,PR,Puerto Rico,ARECIBO,"URB Regional,"
71,Arecibo,PR,Puerto Rico,ARECIBO,"Villa Serena,"
72,Arecibo,PR,Puerto Rico,ARECIBO,"Vista Azul,"
73,Arecibo,PR,Puerto Rico,ARECIBO,"Bda Duhamel,"
74,Arecibo,PR,Puerto Rico,ARECIBO,"Ext Villa Los Santos I,"
75,Arecibo,PR,Puerto Rico,ARECIBO,"Parc Navas,"
76,Arecibo,PR,Puerto Rico,ARECIBO,"Paseos Reales,"
77,Arecibo,PR,Puerto Rico,ARECIBO,"URB San Daniel,"
78,Arecibo,PR,Puerto Rico,ARECIBO,"Villa Los Santos,"
